Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;27;1497;148,50;0,00;0,00;[3, 3, 6, 2, 3]
2;80;47;1477;147,01;0,00;0,00;[2, 6, 1, 4, 7]
3;80;66;1460;145,60;0,00;0,00;[5, 1, 7, 2, 4]
4;80;84;1440;144,28;0,00;0,00;[0, 2, 1, 2, 0]
5;80;103;1421;142,89;0,00;0,00;[5, 6, 2, 3, 6]
6;80;121;1405;141,56;0,00;0,00;[3, 5, 3, 0, 1]
7;80;140;1386;140,19;0,00;0,00;[7, 7, 0, 2, 2]
8;80;158;1366;138,88;0,00;0,00;[3, 5, 3, 0, 1]
9;80;176;1351;137,56;0,00;0,00;[3, 5, 3, 0, 1]
10;80;193;1339;136,33;0,00;0,00;[2, 6, 1, 4, 7]
11;80;207;1320;135,29;0,00;0,00;[2, 1, 2, 0, 7]
12;80;224;1302;134,06;0,00;0,00;[2, 5, 1, 5, 7]
13;80;240;1289;132,90;0,00;0,00;[1, 4, 1, 5, 0]
14;80;256;1272;131,74;0,00;0,00;[2, 5, 1, 5, 7]
15;80;270;1260;130,71;0,00;0,00;[5, 5, 7, 2, 7]
16;80;283;1245;129,76;0,00;0,00;[6, 1, 4, 6, 5]
17;80;298;1228;128,70;0,00;0,00;[1, 4, 1, 5, 0]
18;80;313;1221;127,65;0,00;0,00;[2, 3, 0, 3, 0]
19;80;326;1205;126,73;0,00;0,00;[6, 1, 4, 6, 5]
20;80;344;1188;125,49;0,00;0,00;[1, 4, 1, 5, 0]
21;80;357;1177;124,56;0,00;0,00;[6, 5, 7, 0, 7]
22;80;373;1160;123,48;0,00;0,00;[2, 0, 5, 1, 7]
23;80;385;1146;122,64;0,00;0,00;[4, 5, 2, 6, 4]
24;80;399;1134;121,68;0,00;0,00;[5, 0, 3, 5, 2]
25;80;412;1124;120,79;0,00;0,00;[6, 1, 4, 6, 5]
26;80;426;1109;119,85;0,00;0,00;[5, 5, 7, 2, 7]
27;80;440;1102;118,93;0,00;0,00;[7, 3, 6, 4, 7]
28;80;451;1086;118,20;0,00;0,00;[2, 6, 1, 4, 7]
29;80;464;1072;117,35;0,00;0,00;[0, 2, 2, 7, 6]
30;80;479;1061;116,38;0,00;0,00;[2, 3, 0, 3, 0]
31;80;492;1045;115,53;0,00;0,00;[7, 2, 5, 3, 4]
32;80;508;1033;114,50;0,00;0,00;[5, 5, 7, 2, 7]
33;80;524;1011;113,48;0,00;0,00;[5, 0, 3, 5, 2]
34;80;538;997;112,58;0,00;0,00;[5, 0, 3, 5, 2]
