Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;141;7;274;69,43;0,00;0,01;[4, 0, 7, 5, 2, 6, 6, 4]
2;144;5;278;66,17;0,00;0,06;[5, 3, 3, 5, 3, 0, 3, 3]
3;144;3;275;65,17;0,00;0,06;[4, 4, 4, 1, 2, 7, 0, 1]
4;145;4;266;63,30;0,00;0,07;[5, 3, 3, 5, 3, 0, 3, 3]
5;146;4;270;61,51;0,00;0,08;[7, 3, 1, 1, 0, 2, 3, 3]
6;146;4;269;60,43;0,00;0,08;[0, 6, 1, 7, 5, 2, 5, 7]
7;146;5;275;59,31;0,00;0,08;[0, 6, 1, 7, 5, 2, 5, 7]
8;146;5;267;58,27;0,00;0,08;[4, 7, 7, 4, 2, 3, 5, 1]
9;147;6;271;56,52;0,00;0,10;[6, 6, 6, 3, 3, 0, 3, 0]
10;147;5;272;55,57;0,00;0,10;[0, 7, 6, 5, 7, 0, 3, 1]
11;145;6;267;55,27;10,00;0,10;[6, 1, 7, 0, 5, 4, 0, 2]
12;146;5;271;53,67;10,00;0,11;[6, 3, 7, 6, 5, 6, 0, 4]
13;143;4;274;53,91;11,20;0,11;[6, 1, 7, 0, 5, 4, 0, 2]
14;143;5;274;52,55;11,50;0,13;[6, 1, 7, 0, 5, 4, 0, 2]
15;142;6;272;51,86;11,86;0,13;[6, 1, 7, 0, 5, 4, 0, 2]
16;141;6;280;51,00;12,56;0,13;[6, 1, 7, 0, 5, 4, 0, 2]
17;138;6;278;50,78;13,62;0,15;[4, 4, 0, 0, 2, 3, 7, 4]
18;135;6;284;50,85;14,25;0,16;[6, 1, 7, 0, 5, 4, 0, 2]
19;135;6;282;49,22;14,67;0,19;[3, 4, 6, 7, 1, 6, 7, 4]
20;127;7;286;51,17;15,92;0,19;[4, 4, 0, 0, 2, 3, 7, 4]
21;123;7;287;51,40;16,58;0,21;[2, 4, 3, 4, 4, 4, 0, 2]
22;122;8;289;50,25;16,73;0,22;[2, 3, 0, 3, 1, 0, 5, 2]
23;122;9;290;49,00;16,73;0,22;[3, 0, 7, 2, 0, 5, 7, 7]
24;120;10;285;48,64;17,09;0,21;[3, 7, 0, 7, 6, 7, 1, 2]
25;121;9;286;46,93;17,09;0,22;[6, 6, 6, 3, 3, 0, 3, 0]
26;120;10;282;46,19;17,31;0,23;[3, 3, 3, 2, 5, 6, 0, 4]
27;117;9;294;46,49;17,97;0,23;[4, 0, 7, 5, 2, 6, 6, 4]
28;114;10;287;46,54;18,62;0,24;[7, 3, 2, 5, 0, 3, 4, 0]
29;113;11;292;45,81;18,84;0,24;[4, 6, 4, 5, 7, 5, 4, 7]
30;110;11;298;45,65;19,70;0,26;[7, 3, 1, 1, 0, 2, 3, 3]
31;108;12;297;45,26;20,12;0,27;[7, 1, 0, 1, 2, 6, 7, 1]
32;106;12;303;44,63;20,75;0,29;[4, 4, 4, 1, 2, 7, 0, 1]
33;106;12;299;43,49;20,75;0,29;[7, 6, 7, 4, 3, 0, 4, 1]
34;97;12;301;46,44;22,56;0,32;[7, 6, 7, 4, 3, 0, 4, 1]
35;95;13;305;46,07;22,92;0,33;[4, 6, 4, 5, 7, 5, 4, 7]
36;95;14;303;44,67;22,92;0,33;[4, 4, 2, 2, 1, 3, 4, 1]
37;92;15;305;44,77;23,52;0,34;[7, 0, 0, 7, 2, 3, 5, 1]
38;88;16;306;45,44;24,29;0,33;[7, 0, 0, 7, 2, 3, 5, 1]
39;87;16;308;44,28;24,67;0,36;[7, 0, 0, 7, 2, 3, 5, 1]
40;83;17;308;45,07;25,42;0,37;[7, 6, 7, 4, 3, 0, 4, 1]
41;82;17;312;43,82;25,79;0,40;[6, 6, 6, 3, 3, 0, 3, 0]
42;81;18;309;42,84;25,99;0,41;[2, 2, 4, 6, 7, 3, 3, 7]
43;79;19;314;42,39;26,07;0,41;[7, 6, 7, 4, 3, 0, 4, 1]
44;74;19;318;43,86;27,06;0,41;[4, 4, 2, 2, 1, 3, 4, 1]
45;72;19;315;43,74;27,39;0,40;[7, 6, 7, 4, 3, 0, 4, 1]
46;70;17;323;43,81;27,78;0,41;[7, 7, 5, 1, 1, 4, 6, 3]
47;69;17;319;43,04;27,98;0,42;[7, 5, 5, 5, 4, 0, 3, 3]
48;70;17;318;40,41;27,98;0,44;[2, 3, 1, 7, 1, 3, 4, 1]
49;66;16;326;41,50;28,62;0,45;[3, 7, 5, 1, 3, 1, 0, 2]
50;65;17;324;40,51;28,83;0,45;[3, 0, 7, 2, 0, 5, 7, 7]
51;63;17;324;40,40;29,27;0,46;[3, 3, 4, 3, 5, 5, 1, 3]
52;64;18;331;37,52;29,27;0,48;[4, 4, 2, 2, 1, 3, 4, 1]
53;63;18;325;36,63;29,49;0,49;[3, 6, 1, 2, 2, 1, 4, 1]
54;60;19;327;36,93;30,19;0,52;[7, 6, 7, 4, 3, 0, 4, 1]
55;59;20;328;35,93;30,42;0,53;[4, 7, 0, 1, 7, 4, 4, 2]
56;57;21;330;35,44;30,89;0,51;[7, 5, 5, 5, 4, 0, 3, 3]
57;56;22;328;34,32;31,12;0,52;[3, 7, 5, 1, 3, 1, 0, 2]
58;50;23;331;36,68;32,49;0,48;[3, 0, 7, 2, 0, 5, 7, 7]
59;48;23;330;36,67;32,86;0,48;[4, 7, 0, 1, 7, 4, 4, 2]
60;47;24;334;35,62;33,09;0,49;[6, 3, 7, 2, 3, 3, 6, 3]
61;47;25;332;33,74;33,09;0,49;[2, 3, 3, 3, 3, 0, 4, 0]
62;46;26;334;32,61;33,33;0,48;[4, 4, 4, 1, 2, 7, 0, 1]
63;44;27;334;32,23;33,47;0,45;[4, 4, 4, 1, 2, 7, 0, 1]
64;39;28;338;34,54;34,67;0,38;[3, 3, 4, 3, 5, 5, 1, 3]
65;39;28;334;32,97;34,67;0,38;[7, 5, 5, 5, 4, 0, 3, 3]
66;37;29;337;32,95;35,16;0,35;[0, 6, 7, 0, 0, 0, 3, 3]
67;37;30;335;31,14;35,16;0,35;[7, 0, 0, 7, 2, 3, 5, 1]
68;36;30;338;30,47;35,41;0,33;[6, 2, 0, 2, 3, 0, 4, 1]
69;34;30;337;30,79;35,92;0,35;[7, 5, 5, 5, 4, 0, 3, 3]
70;31;31;340;31,94;36,68;0,29;[4, 7, 0, 1, 7, 4, 4, 2]
71;30;32;339;31,17;36,93;0,30;[4, 7, 0, 1, 7, 4, 4, 2]
72;30;32;341;29,67;36,93;0,30;[3, 4, 5, 4, 3, 2, 4, 0]
73;29;33;339;28,90;37,03;0,31;[3, 5, 0, 0, 7, 1, 0, 6]
74;25;34;342;31,76;37,99;0,20;[7, 5, 7, 4, 0, 3, 4, 0]
75;24;35;344;31,25;38,25;0,21;[4, 7, 0, 1, 7, 4, 4, 2]
76;24;35;344;29,83;38,25;0,21;[4, 7, 0, 1, 7, 4, 4, 2]
77;23;36;345;29,35;38,53;0,22;[2, 1, 3, 1, 5, 1, 4, 4]
78;19;37;345;33,68;39,50;0,11;[6, 0, 1, 1, 7, 4, 4, 2]
79;19;38;346;31,84;39,50;0,11;[3, 3, 3, 2, 5, 6, 0, 4]
80;18;39;344;31,78;39,78;0,06;[4, 4, 2, 2, 1, 3, 4, 1]
81;17;40;345;31,76;40,06;0,06;[3, 3, 3, 2, 5, 6, 0, 4]
82;17;41;342;29,88;40,06;0,06;[3, 5, 0, 0, 7, 1, 0, 6]
83;16;42;346;29,88;40,12;0,06;[0, 3, 5, 7, 6, 4, 5, 2]
84;16;43;342;28,00;40,12;0,06;[3, 3, 3, 0, 5, 5, 1, 3]
85;16;44;342;26,13;40,12;0,06;[3, 5, 0, 0, 7, 1, 0, 6]
86;16;45;339;24,25;40,12;0,06;[3, 3, 3, 0, 5, 5, 1, 3]
87;14;46;341;25,86;40,64;0,07;[4, 7, 0, 1, 7, 4, 4, 2]
88;14;47;340;24,00;40,64;0,07;[4, 7, 0, 1, 7, 4, 4, 2]
89;14;48;339;22,14;40,64;0,07;[4, 7, 0, 1, 7, 4, 4, 2]
90;14;49;338;20,29;40,64;0,07;[4, 7, 0, 1, 7, 4, 4, 2]
91;12;50;339;21,83;41,29;0,08;[4, 7, 0, 1, 7, 4, 4, 2]
92;11;51;340;22,00;41,35;0,09;[3, 3, 3, 2, 5, 6, 0, 4]
93;11;52;339;20,18;41,35;0,09;[3, 5, 0, 0, 7, 1, 0, 6]
94;11;53;337;18,36;41,35;0,09;[3, 5, 0, 0, 7, 1, 0, 6]
95;10;54;336;18,40;41,70;0,10;[3, 3, 3, 0, 5, 5, 1, 3]
96;10;55;336;16,60;41,70;0,10;[3, 3, 3, 0, 5, 5, 1, 3]
97;9;56;336;16,67;41,86;0,11;[3, 3, 3, 0, 5, 5, 1, 3]
98;9;57;334;14,89;41,86;0,11;[3, 3, 3, 0, 5, 5, 1, 3]
99;8;58;335;15,00;41,91;0,13;[2, 1, 3, 1, 5, 1, 4, 4]
100;8;59;334;13,25;41,91;0,13;[2, 1, 3, 1, 5, 1, 4, 4]
101;6;60;335;16,00;42,65;0,00;[4, 4, 2, 2, 1, 3, 4, 1]
102;6;61;333;14,33;42,65;0,00;[4, 4, 2, 2, 1, 3, 4, 1]
