Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;16;27;62;148,06;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
2;16;47;46;146,13;0,00;0,00;[4, 4, 2, 2, 3, 0, 6, 7, 3, 1]
3;16;67;29;144,25;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
4;16;87;11;142,38;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
5;16;100;0;143,63;0,00;0,00;[6, 5, 3, 2, 5, 7, 2, 2, 6, 5]
6;16;100;0;144,88;0,00;0,00;[0, 1, 3, 3, 5, 5, 3, 2, 1, 2]
7;16;100;0;146,13;0,00;0,00;[6, 5, 3, 2, 5, 7, 2, 2, 6, 5]
8;16;100;0;147,38;0,00;0,00;[4, 4, 2, 2, 3, 0, 6, 7, 3, 1]
9;16;100;0;148,63;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
10;16;100;0;149,88;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
11;16;100;0;151,13;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
12;16;100;0;152,38;0,00;0,00;[4, 4, 2, 2, 3, 0, 6, 7, 3, 1]
13;16;100;0;153,63;0,00;0,00;[4, 4, 2, 2, 3, 0, 6, 7, 3, 1]
14;16;100;0;154,88;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
15;16;100;0;156,13;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
16;16;100;0;157,38;0,00;0,00;[1, 7, 2, 1, 6, 1, 3, 1, 3, 1]
17;16;100;0;158,63;0,00;0,00;[3, 4, 0, 6, 5, 0, 6, 6, 5, 2]
18;16;100;0;159,88;0,00;0,00;[4, 4, 2, 2, 3, 0, 6, 7, 3, 1]
19;16;100;0;161,13;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
20;16;100;0;162,38;0,00;0,00;[5, 7, 2, 2, 6, 7, 1, 5, 3, 1]
21;16;100;0;163,63;0,00;0,00;[1, 0, 3, 1, 6, 3, 6, 0, 6, 5]
