Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;9174;2003;3534;11,57;0,00;0,26;[1, 7, 2, 1, 6, 0, 0, 7]
2;9934;3277;2332;9,74;0,00;0,39;[5, 6, 7, 7, 4, 4, 3, 6]
3;10353;4077;1701;8,77;2,00;0,46;[3, 4, 7, 0, 7, 5, 0, 3]
4;10350;4573;1500;8,38;2,99;0,49;[3, 4, 7, 0, 7, 5, 0, 3]
5;10330;4850;1322;8,16;3,36;0,51;[0, 2, 1, 3, 2, 0, 2, 3]
6;9158;5152;1522;9,06;4,48;0,47;[2, 7, 6, 1, 2, 1, 0, 4]
7;8889;5308;1554;9,31;4,69;0,49;[3, 4, 7, 0, 7, 5, 0, 3]
8;8616;5429;1662;9,62;5,00;0,51;[6, 7, 3, 7, 2, 5, 0, 5]
9;8493;5559;1760;9,75;5,30;0,56;[5, 1, 1, 5, 0, 4, 1, 3]
10;8341;5612;1830;9,98;5,66;0,59;[0, 1, 2, 2, 2, 5, 2, 0]
11;8163;5637;1899;10,28;6,08;0,63;[0, 2, 1, 3, 2, 0, 2, 3]
12;8132;5675;1933;10,39;6,40;0,67;[6, 0, 1, 1, 1, 3, 5, 2]
13;8134;5631;1978;10,48;6,74;0,72;[2, 5, 1, 6, 6, 1, 7, 5]
14;8186;5621;1970;10,47;7,03;0,77;[4, 4, 2, 1, 6, 2, 0, 2]
15;8285;5615;2021;10,38;7,27;0,82;[1, 0, 5, 6, 7, 3, 3, 0]
16;8331;5631;1980;10,33;7,61;0,85;[3, 4, 7, 0, 7, 5, 0, 3]
17;8443;5653;1975;10,17;7,91;0,90;[3, 2, 4, 2, 3, 7, 2, 1]
18;8496;5628;1971;10,11;8,21;0,94;[7, 0, 6, 5, 6, 0, 5, 4]
19;8625;5687;1919;9,88;8,44;0,98;[0, 1, 2, 2, 2, 5, 2, 0]
20;8672;5700;1871;9,78;8,74;1,02;[0, 7, 4, 2, 7, 0, 4, 0]
21;8658;5702;1829;9,76;9,08;1,04;[6, 6, 6, 2, 2, 5, 1, 0]
22;8687;5733;1796;9,66;9,34;1,07;[7, 6, 7, 3, 0, 5, 3, 5]
23;8699;5794;1727;9,57;9,56;1,10;[3, 6, 1, 3, 5, 2, 2, 4]
24;8653;5857;1701;9,56;9,80;1,13;[7, 3, 3, 5, 1, 3, 3, 4]
25;8558;5913;1687;9,63;10,01;1,14;[4, 4, 4, 1, 4, 5, 4, 5]
