Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;140;26;256;149,07;0,00;0,00;[7, 0, 5, 0, 7, 2, 3, 6, 3, 2]
2;140;40;250;149,98;0,00;0,00;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
3;140;50;231;152,38;0,00;0,00;[0, 4, 2, 2, 1, 6, 3, 5, 6, 6]
4;140;57;231;155,87;0,00;0,00;[3, 6, 2, 2, 6, 0, 1, 6, 5, 2]
5;140;63;227;159,77;0,00;0,00;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
6;140;76;218;161,20;0,00;0,00;[6, 1, 0, 6, 2, 1, 6, 2, 7, 0]
7;140;79;213;166,22;0,00;0,00;[6, 1, 0, 6, 2, 1, 6, 2, 7, 0]
8;140;84;204;170,54;0,00;0,00;[0, 6, 1, 1, 2, 1, 0, 6, 5, 0]
9;140;88;201;175,24;0,00;0,00;[4, 7, 6, 5, 1, 3, 5, 1, 4, 0]
10;141;90;203;177,60;0,00;0,01;[0, 0, 0, 0, 6, 2, 2, 7, 3, 6]
11;143;98;191;174,81;0,00;0,04;[6, 5, 6, 1, 7, 4, 5, 7, 3, 6]
12;144;99;189;177,45;0,00;0,06;[2, 2, 7, 3, 3, 7, 5, 1, 4, 7]
13;144;103;194;181,99;0,00;0,06;[0, 0, 0, 0, 6, 2, 2, 7, 3, 6]
14;145;100;190;185,94;0,00;0,07;[3, 2, 7, 0, 2, 7, 7, 7, 4, 0]
15;148;100;192;182,88;0,00;0,11;[0, 7, 1, 0, 3, 2, 4, 6, 0, 3]
16;151;99;200;180,25;0,00;0,15;[4, 0, 5, 0, 6, 1, 3, 2, 5, 5]
17;152;91;196;185,63;0,00;0,16;[6, 6, 6, 2, 7, 4, 4, 0, 0, 1]
18;154;92;204;185,16;0,00;0,18;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
19;155;92;191;187,81;0,00;0,19;[4, 7, 6, 5, 1, 3, 5, 1, 4, 0]
20;156;91;190;190,74;0,00;0,21;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
21;156;88;194;197,11;0,00;0,21;[1, 1, 2, 2, 0, 4, 5, 1, 7, 1]
22;157;93;189;198,04;0,00;0,22;[6, 0, 0, 1, 5, 5, 3, 3, 3, 1]
23;158;97;188;199,28;0,00;0,23;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
24;160;94;183;199,86;0,00;0,25;[4, 2, 7, 2, 7, 5, 5, 4, 5, 2]
25;161;91;185;203,22;0,00;0,26;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
26;162;93;185;204,98;0,00;0,27;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
27;167;98;182;194,88;0,00;0,32;[4, 0, 5, 0, 6, 1, 3, 2, 5, 5]
28;168;100;179;196,60;0,00;0,33;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
29;171;106;172;191,87;0,00;0,36;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
30;171;104;171;197,30;0,00;0,36;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
31;173;105;165;196,64;0,00;0,38;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
32;174;103;166;199,40;0,00;0,39;[7, 4, 7, 1, 7, 0, 3, 0, 3, 1]
33;173;105;164;204,77;32,00;0,39;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
34;173;102;167;210,42;32,00;0,39;[7, 7, 7, 5, 0, 3, 5, 2, 7, 1]
35;176;101;167;207,55;32,00;0,42;[1, 5, 7, 0, 7, 1, 4, 4, 4, 7]
36;179;101;175;204,49;32,00;0,45;[1, 4, 5, 3, 0, 0, 5, 1, 0, 1]
37;184;99;171;197,14;32,00;0,49;[4, 1, 7, 2, 4, 5, 7, 4, 6, 0]
38;187;98;173;194,60;32,00;0,51;[7, 7, 4, 3, 3, 0, 0, 2, 4, 5]
39;189;99;182;192,61;35,00;0,54;[7, 7, 7, 5, 0, 3, 5, 2, 7, 1]
40;192;96;182;189,39;36,33;0,57;[6, 5, 6, 7, 1, 3, 0, 5, 7, 6]
41;194;92;175;190,05;36,33;0,59;[4, 2, 7, 2, 7, 5, 5, 4, 5, 2]
42;195;94;171;188,86;38,20;0,62;[0, 2, 2, 0, 7, 4, 4, 0, 0, 1]
43;194;100;162;191,16;39,29;0,63;[2, 7, 5, 2, 3, 2, 0, 4, 0, 4]
44;194;93;179;197,10;39,29;0,63;[2, 7, 5, 2, 3, 2, 0, 4, 0, 4]
45;195;91;173;199,45;39,29;0,64;[2, 7, 5, 2, 3, 2, 0, 4, 0, 4]
46;197;93;169;198,47;39,29;0,65;[1, 4, 5, 3, 0, 0, 5, 1, 0, 1]
47;198;91;172;200,76;39,29;0,66;[2, 7, 5, 2, 3, 2, 0, 4, 0, 4]
48;198;89;175;204,07;40,25;0,66;[7, 6, 1, 1, 4, 3, 6, 6, 7, 2]
49;201;91;172;200,78;40,25;0,68;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
50;203;88;176;201,01;40,25;0,69;[7, 6, 1, 1, 4, 3, 6, 6, 7, 2]
51;197;88;179;206,16;45,67;0,68;[1, 2, 7, 3, 4, 3, 5, 4, 4, 1]
52;195;88;183;211,13;46,43;0,68;[1, 2, 7, 3, 4, 3, 5, 4, 4, 1]
53;196;90;175;211,09;46,68;0,69;[1, 2, 7, 3, 4, 3, 5, 4, 4, 1]
54;198;91;170;210,23;46,68;0,71;[7, 6, 1, 1, 4, 3, 6, 6, 7, 2]
55;201;97;176;204,61;47,00;0,74;[3, 6, 2, 2, 6, 0, 1, 6, 5, 2]
56;205;96;162;199,87;47,00;0,76;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
57;208;97;164;196,94;47,00;0,78;[6, 5, 7, 1, 5, 0, 6, 2, 5, 1]
58;211;98;159;194,09;47,00;0,80;[4, 1, 7, 2, 4, 7, 5, 1, 2, 7]
59;212;92;164;197,12;47,00;0,80;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
60;216;88;165;192,25;47,50;0,83;[4, 2, 7, 0, 3, 5, 3, 0, 7, 7]
61;216;93;152;192,39;48,08;0,83;[6, 5, 7, 1, 5, 0, 6, 2, 5, 1]
62;219;91;169;190,35;48,08;0,85;[2, 0, 2, 0, 0, 1, 3, 2, 4, 4]
63;223;89;169;186,38;48,08;0,87;[0, 3, 2, 2, 1, 2, 7, 2, 0, 6]
64;224;96;156;186,31;48,08;0,88;[4, 0, 6, 0, 6, 0, 1, 7, 4, 1]
65;224;90;166;188,87;49,21;0,89;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
66;226;81;166;188,17;49,07;0,91;[7, 7, 7, 5, 0, 3, 5, 2, 7, 1]
67;226;73;173;193,35;49,07;0,91;[1, 1, 2, 2, 0, 4, 5, 1, 7, 1]
68;229;73;174;190,91;49,07;0,92;[7, 0, 6, 0, 0, 1, 3, 2, 4, 1]
69;230;80;173;190,82;49,07;0,93;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
70;228;76;170;195,68;49,30;0,93;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
71;229;70;181;196,23;50,49;0,95;[4, 1, 7, 2, 4, 4, 1, 0, 5, 1]
72;232;74;180;192,91;50,49;0,96;[4, 1, 7, 2, 4, 4, 1, 0, 5, 1]
73;232;78;167;194,29;51,08;0,97;[1, 3, 6, 7, 3, 3, 3, 2, 3, 2]
74;235;83;170;190,81;51,08;0,98;[6, 5, 6, 7, 7, 4, 4, 4, 5, 1]
75;235;80;173;194,69;51,08;0,98;[3, 3, 6, 5, 4, 0, 7, 6, 3, 2]
