Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;27;1496;148,50;0,00;0,00;[0, 2, 6, 4, 4]
2;80;47;1479;147,01;0,00;0,00;[2, 4, 5, 0, 7]
3;80;66;1458;145,63;0,00;0,00;[0, 6, 1, 2, 6]
4;80;84;1441;144,30;0,00;0,00;[0, 2, 6, 4, 4]
5;80;103;1425;142,93;0,00;0,00;[0, 2, 6, 4, 4]
6;80;120;1407;141,70;0,00;0,00;[7, 7, 7, 7, 5]
7;80;139;1387;140,36;0,00;0,00;[6, 1, 6, 7, 0]
8;80;155;1374;139,23;0,00;0,00;[0, 2, 6, 4, 4]
9;80;172;1355;138,04;0,00;0,00;[0, 2, 6, 4, 4]
10;80;187;1346;136,98;0,00;0,00;[5, 1, 4, 5, 3]
11;80;201;1326;135,98;0,00;0,00;[0, 2, 6, 4, 4]
12;80;213;1312;135,10;0,00;0,00;[5, 1, 4, 5, 3]
13;80;230;1295;133,91;0,00;0,00;[0, 2, 6, 4, 4]
14;80;247;1280;132,73;0,00;0,00;[2, 4, 5, 2, 3]
15;80;263;1268;131,60;0,00;0,00;[5, 1, 4, 5, 3]
16;80;277;1254;130,60;0,00;0,00;[0, 6, 1, 2, 6]
17;80;292;1234;129,54;0,00;0,00;[7, 7, 5, 3, 6]
18;80;308;1218;128,43;0,00;0,00;[7, 0, 3, 5, 6]
19;80;323;1212;127,39;0,00;0,00;[0, 7, 4, 5, 7]
20;80;338;1189;126,36;0,00;0,00;[2, 7, 4, 7, 5]
21;79;352;1183;126,96;20,00;0,00;[4, 6, 3, 2, 4]
22;79;366;1166;125,97;20,00;0,00;[2, 7, 4, 7, 5]
23;79;379;1153;125,05;20,00;0,00;[2, 7, 4, 7, 5]
24;79;394;1140;124,00;20,00;0,00;[3, 0, 4, 1, 0]
25;79;408;1125;123,01;20,00;0,00;[5, 3, 7, 7, 7]
26;79;421;1112;122,09;20,00;0,00;[6, 0, 7, 3, 5]
27;79;434;1095;121,18;20,00;0,00;[6, 0, 7, 3, 5]
28;79;446;1088;120,34;20,00;0,00;[7, 7, 5, 3, 6]
29;79;460;1071;119,39;20,00;0,00;[6, 0, 7, 3, 5]
30;79;471;1064;118,63;20,00;0,00;[2, 4, 5, 2, 3]
31;79;485;1049;117,68;20,00;0,00;[7, 0, 3, 5, 6]
32;79;500;1034;116,67;20,00;0,00;[7, 0, 3, 5, 6]
33;79;510;1025;115,97;20,00;0,00;[2, 5, 2, 3, 0]
34;79;524;1009;115,05;20,00;0,00;[7, 0, 3, 5, 6]
35;78;538;1000;115,58;27,00;0,00;[2, 4, 5, 2, 3]
36;78;553;981;114,56;27,00;0,00;[5, 3, 7, 7, 7]
37;78;562;970;113,94;27,00;0,00;[3, 0, 4, 1, 0]
38;78;575;958;113,05;27,00;0,00;[0, 6, 1, 2, 6]
39;78;591;945;111,97;27,00;0,00;[0, 7, 2, 1, 5]
40;77;605;936;112,48;31,00;0,00;[3, 2, 6, 4, 4]
41;77;618;916;111,60;31,00;0,00;[3, 2, 6, 4, 4]
42;77;628;903;110,91;31,00;0,00;[2, 4, 5, 0, 7]
43;75;639;903;113,16;35,40;0,00;[2, 5, 2, 3, 0]
44;75;651;887;112,32;35,40;0,00;[5, 3, 7, 7, 7]
