Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;140;7;278;70,21;0,00;0,00;[6, 2, 2, 0, 5, 3, 7, 1]
2;141;4;273;68,52;0,00;0,01;[5, 7, 7, 4, 1, 0, 5, 4]
3;141;4;269;67,43;0,00;0,01;[0, 7, 4, 4, 7, 1, 5, 0]
4;142;3;274;65,70;0,00;0,03;[5, 6, 2, 6, 4, 0, 7, 6]
5;142;2;279;64,74;0,00;0,03;[1, 2, 1, 3, 1, 6, 4, 2]
6;142;2;277;63,74;0,00;0,03;[6, 0, 3, 5, 3, 1, 4, 0]
7;143;3;267;61,95;0,00;0,04;[4, 7, 0, 3, 2, 0, 7, 4]
8;143;4;267;60,88;0,00;0,04;[4, 7, 0, 3, 2, 0, 7, 4]
9;144;5;271;59,12;0,00;0,06;[7, 6, 6, 4, 0, 3, 1, 3]
10;143;5;268;58,51;9,00;0,06;[5, 3, 2, 6, 4, 4, 7, 0]
11;143;6;275;57,42;9,00;0,06;[0, 2, 1, 3, 1, 5, 4, 7]
12;141;5;272;57,33;10,33;0,06;[4, 7, 0, 3, 7, 7, 2, 5]
13;141;5;274;56,32;10,33;0,06;[5, 3, 2, 6, 4, 4, 7, 0]
14;141;4;270;55,38;10,33;0,06;[4, 7, 0, 3, 2, 0, 7, 4]
15;141;5;274;54,31;10,33;0,06;[4, 7, 0, 3, 2, 0, 7, 4]
16;137;6;271;54,84;13,00;0,04;[1, 1, 6, 3, 1, 5, 1, 7]
17;131;6;281;56,08;14,50;0,05;[0, 2, 1, 3, 1, 5, 4, 7]
18;127;6;280;56,55;15,16;0,07;[6, 0, 3, 6, 0, 7, 7, 6]
19;123;6;292;56,46;15,92;0,12;[0, 3, 6, 4, 4, 3, 5, 3]
20;119;7;286;57,17;16,33;0,13;[1, 5, 0, 5, 0, 2, 6, 3]
21;118;6;288;56,65;16,45;0,13;[1, 5, 0, 5, 0, 2, 6, 3]
22;117;7;287;55,99;16,59;0,13;[1, 0, 4, 3, 3, 4, 4, 7]
23;116;8;290;54,97;16,91;0,15;[1, 5, 0, 5, 0, 2, 6, 3]
24;116;8;287;53,88;16,91;0,15;[1, 5, 0, 5, 0, 2, 6, 3]
25;113;8;288;54,25;17,49;0,15;[1, 5, 0, 5, 0, 2, 6, 3]
26;114;9;290;52,24;17,49;0,17;[0, 2, 1, 3, 1, 5, 4, 7]
27;113;10;288;51,50;17,71;0,17;[1, 0, 4, 2, 0, 1, 4, 2]
28;111;10;294;50,95;18,39;0,18;[0, 2, 1, 3, 1, 5, 4, 7]
29;110;11;290;50,22;18,62;0,18;[6, 5, 0, 3, 7, 3, 2, 6]
30;111;12;287;47,85;18,86;0,22;[1, 0, 4, 3, 3, 4, 4, 7]
31;106;12;291;49,03;20,02;0,23;[7, 6, 6, 4, 0, 3, 1, 3]
32;104;12;297;48,08;20,87;0,26;[6, 5, 3, 1, 5, 7, 5, 6]
33;101;12;304;47,93;21,66;0,29;[7, 6, 6, 4, 0, 3, 1, 3]
34;100;12;302;46,83;22,05;0,31;[7, 3, 1, 4, 7, 7, 7, 3]
35;97;13;300;46,95;22,33;0,31;[4, 7, 0, 3, 0, 1, 4, 2]
36;98;13;304;44,86;22,33;0,33;[6, 5, 0, 3, 7, 3, 2, 6]
37;94;13;303;45,61;23,17;0,34;[5, 4, 7, 2, 1, 5, 7, 1]
38;92;13;305;45,37;23,58;0,35;[4, 7, 0, 3, 0, 1, 4, 2]
39;91;14;303;44,13;24,00;0,37;[2, 7, 6, 3, 2, 2, 6, 4]
40;91;15;304;42,37;24,21;0,40;[1, 2, 1, 3, 1, 6, 4, 2]
41;88;16;307;42,48;24,86;0,41;[0, 7, 4, 4, 7, 1, 5, 0]
