Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;8;9;208;14,00;0,00;0,00;[2, 2, 3, 6, 2, 0, 4, 1]
2;8;11;206;13,00;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
3;8;12;205;12,63;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
4;8;14;203;11,63;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
5;8;15;202;11,25;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
6;8;17;200;10,25;0,00;0,00;[0, 4, 4, 6, 0, 0, 1, 2]
7;8;19;198;9,25;0,00;0,00;[0, 4, 4, 6, 0, 0, 1, 2]
8;8;21;197;8,25;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
9;8;22;195;7,88;0,00;0,00;[0, 4, 4, 6, 0, 0, 1, 2]
10;8;24;193;6,88;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
11;8;25;192;6,50;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
12;8;27;190;5,50;0,00;0,00;[0, 3, 0, 6, 3, 7, 1, 0]
13;8;28;190;5,13;0,00;0,00;[0, 4, 4, 6, 0, 0, 1, 2]
