Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;140;24;259;149,79;0,00;0,00;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
2;140;40;245;150,00;0,00;0,00;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
3;140;50;241;152,39;0,00;0,00;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
4;140;62;222;154,10;0,00;0,00;[5, 6, 7, 4, 0, 1, 0, 2, 6, 4]
5;140;67;220;158,34;0,00;0,00;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
6;141;78;217;157,53;0,00;0,01;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
7;141;84;210;161,41;0,00;0,01;[1, 3, 0, 1, 1, 5, 4, 0, 2, 0]
8;142;81;208;165,55;0,00;0,03;[7, 0, 0, 0, 3, 6, 1, 0, 0, 7]
9;143;79;217;169,28;0,00;0,04;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
10;143;82;207;174,18;0,00;0,04;[7, 0, 0, 0, 3, 6, 1, 0, 0, 7]
11;146;85;212;170,27;0,00;0,08;[1, 4, 3, 3, 3, 0, 1, 2, 1, 0]
12;147;83;203;173,86;0,00;0,10;[6, 3, 1, 1, 1, 2, 2, 4, 2, 0]
13;147;82;201;179,98;0,00;0,10;[5, 5, 0, 0, 0, 1, 1, 7, 4, 1]
14;150;87;203;175,37;0,00;0,13;[7, 0, 0, 0, 3, 6, 1, 0, 0, 7]
15;150;87;196;181,02;0,00;0,13;[7, 3, 6, 6, 3, 7, 3, 0, 1, 7]
16;152;80;213;183,22;0,00;0,16;[7, 0, 5, 6, 6, 1, 2, 6, 7, 4]
17;152;78;208;187,81;16,00;0,16;[7, 3, 6, 6, 3, 7, 3, 0, 1, 7]
18;156;82;200;180,72;16,00;0,21;[6, 4, 1, 6, 5, 2, 3, 5, 0, 1]
19;157;82;198;183,34;16,00;0,22;[4, 3, 0, 1, 6, 3, 5, 5, 4, 1]
20;159;85;194;182,24;16,00;0,25;[7, 0, 0, 0, 3, 6, 1, 0, 0, 7]
21;162;81;203;180,65;16,00;0,28;[6, 2, 1, 2, 2, 4, 7, 6, 3, 0]
22;165;85;199;176,67;16,00;0,31;[7, 5, 6, 0, 7, 5, 6, 2, 4, 7]
23;165;86;191;181,42;16,00;0,31;[3, 4, 5, 3, 0, 0, 4, 0, 3, 1]
24;167;90;185;180,04;16,00;0,33;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
25;170;89;183;177,64;16,00;0,36;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
26;173;88;186;175,29;16,00;0,39;[5, 6, 7, 4, 1, 7, 7, 5, 1, 4]
27;173;89;180;178,34;21,00;0,39;[1, 3, 0, 1, 1, 5, 4, 0, 2, 0]
28;175;85;192;177,88;23,00;0,42;[7, 0, 5, 6, 6, 1, 2, 6, 7, 4]
29;176;84;184;180,41;23,00;0,43;[7, 3, 6, 6, 3, 7, 3, 0, 1, 7]
30;179;83;192;178,08;23,00;0,45;[7, 1, 5, 1, 3, 7, 5, 2, 1, 1]
31;180;81;184;179,42;24,75;0,47;[0, 1, 6, 2, 6, 0, 4, 4, 2, 5]
32;182;75;180;179,46;26,00;0,48;[5, 4, 4, 6, 4, 7, 5, 7, 4, 1]
33;182;75;192;182,58;27,00;0,49;[0, 1, 6, 2, 6, 0, 4, 4, 2, 5]
34;185;79;181;178,88;27,00;0,52;[2, 0, 7, 0, 4, 5, 7, 1, 7, 4]
35;186;83;179;179,86;27,00;0,53;[7, 5, 6, 7, 3, 7, 1, 6, 1, 7]
36;192;82;184;170,91;27,00;0,57;[0, 1, 6, 2, 6, 0, 4, 4, 2, 5]
37;194;81;172;170,98;27,00;0,59;[0, 1, 6, 2, 6, 0, 4, 4, 2, 5]
38;196;75;176;171,06;28,43;0,61;[5, 4, 4, 6, 4, 7, 5, 7, 4, 1]
39;198;77;177;169,09;29,63;0,63;[5, 4, 4, 6, 4, 7, 5, 7, 4, 1]
40;199;79;186;168,01;31,50;0,64;[7, 3, 6, 6, 3, 7, 3, 0, 1, 7]
41;201;79;188;166,57;32,27;0,67;[6, 4, 1, 6, 5, 2, 3, 5, 0, 1]
42;202;77;180;168,94;32,27;0,67;[7, 6, 5, 6, 7, 0, 4, 7, 5, 5]
43;200;74;191;174,12;33,21;0,68;[7, 7, 4, 1, 4, 1, 6, 5, 6, 6]
44;203;77;183;171,02;33,21;0,70;[0, 4, 1, 6, 1, 0, 5, 5, 4, 2]
45;205;71;182;172,24;33,21;0,71;[5, 6, 7, 4, 1, 7, 7, 5, 1, 4]
46;208;74;194;169,24;33,21;0,73;[6, 5, 0, 4, 0, 5, 7, 6, 2, 4]
47;209;71;189;170,54;34,07;0,75;[5, 6, 7, 4, 6, 6, 0, 6, 3, 1]
48;212;73;183;167,84;34,07;0,76;[5, 6, 7, 4, 6, 6, 0, 6, 3, 1]
49;216;75;179;163,29;34,07;0,79;[2, 6, 5, 6, 0, 4, 4, 5, 5, 2]
50;218;79;172;162,17;34,07;0,80;[5, 6, 7, 4, 1, 7, 7, 5, 1, 4]
51;207;78;177;174,85;40,81;0,75;[2, 2, 6, 6, 5, 7, 5, 6, 5, 4]
