Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;423;46;827;32,41;0,00;0,11;[5, 3, 0, 4, 1, 1, 1, 7]
2;434;78;779;29,16;0,00;0,16;[5, 0, 4, 0, 1, 4, 1, 2]
3;425;106;763;27,56;2,00;0,17;[7, 7, 6, 1, 5, 1, 1, 6]
4;435;130;732;24,77;2,00;0,21;[1, 0, 6, 3, 6, 6, 0, 0]
5;426;151;705;23,27;2,61;0,20;[7, 7, 6, 1, 5, 1, 1, 6]
6;422;172;705;21,50;2,97;0,20;[1, 6, 7, 3, 3, 5, 6, 2]
7;412;188;695;20,16;3,69;0,19;[6, 5, 2, 7, 6, 3, 3, 7]
8;404;202;670;18,70;4,18;0,19;[1, 6, 7, 3, 3, 5, 6, 2]
9;397;219;683;17,10;4,69;0,20;[2, 0, 3, 6, 1, 6, 7, 2]
10;373;231;702;16,29;5,88;0,21;[5, 1, 4, 5, 3, 4, 4, 7]
11;291;244;729;19,08;7,74;0,17;[0, 4, 3, 7, 7, 6, 6, 6]
12;274;257;730;18,52;7,95;0,16;[7, 7, 6, 1, 5, 1, 1, 6]
13;249;278;725;18,63;8,31;0,15;[5, 3, 0, 4, 1, 1, 1, 7]
14;233;298;712;17,95;8,63;0,15;[7, 7, 6, 1, 5, 1, 1, 6]
15;215;322;718;17,54;8,97;0,15;[6, 7, 5, 5, 6, 5, 7, 3]
16;188;343;714;18,23;9,47;0,11;[5, 2, 6, 2, 3, 1, 3, 3]
17;181;371;702;16,82;9,58;0,10;[6, 7, 5, 5, 6, 5, 7, 3]
18;167;390;694;16,43;9,93;0,10;[3, 4, 1, 5, 0, 0, 5, 2]
19;163;413;669;14,91;10,03;0,10;[5, 3, 4, 2, 3, 1, 6, 1]
20;148;432;663;14,86;10,42;0,10;[1, 7, 4, 6, 7, 0, 7, 0]
21;124;451;667;16,28;10,99;0,09;[3, 4, 1, 5, 0, 0, 5, 2]
22;122;471;639;15,02;11,04;0,09;[1, 1, 4, 2, 7, 5, 7, 2]
23;104;493;638;16,33;11,53;0,10;[1, 2, 4, 7, 6, 1, 1, 5]
24;97;513;623;16,21;11,70;0,10;[6, 2, 5, 5, 7, 3, 3, 3]
25;83;533;609;18,12;12,14;0,11;[1, 2, 4, 7, 6, 1, 1, 5]
26;72;554;596;19,85;12,47;0,13;[5, 6, 2, 6, 0, 1, 6, 7]
27;70;576;581;19,40;12,53;0,13;[2, 7, 6, 4, 3, 0, 6, 0]
28;61;600;564;21,44;12,82;0,10;[1, 7, 4, 6, 7, 0, 7, 0]
29;53;624;550;24,02;13,04;0,09;[2, 7, 6, 4, 3, 0, 6, 0]
30;49;646;531;25,71;13,18;0,10;[7, 4, 2, 4, 7, 1, 3, 1]
31;43;668;516;29,23;13,41;0,12;[2, 3, 1, 4, 3, 3, 7, 4]
32;42;689;495;29,90;13,45;0,12;[1, 1, 4, 2, 7, 5, 7, 2]
33;39;712;476;32,26;13,58;0,13;[6, 7, 2, 5, 5, 0, 5, 7]
34;39;733;454;32,49;13,58;0,13;[6, 7, 2, 5, 5, 0, 5, 7]
35;37;754;433;34,65;13,67;0,14;[6, 7, 2, 5, 5, 0, 5, 7]
36;35;776;411;37,00;13,76;0,14;[6, 7, 2, 5, 5, 0, 5, 7]
37;34;798;395;38,56;13,81;0,15;[7, 7, 0, 5, 2, 1, 4, 7]
38;32;820;370;41,69;13,89;0,16;[7, 6, 7, 1, 6, 3, 7, 0]
39;32;844;348;42,03;13,89;0,16;[7, 6, 7, 1, 6, 3, 7, 0]
40;31;866;324;44,23;13,95;0,16;[7, 6, 7, 1, 6, 3, 7, 0]
41;30;891;301;46,10;14,01;0,17;[7, 6, 7, 1, 6, 3, 7, 0]
42;30;916;277;46,50;14,01;0,17;[7, 6, 7, 1, 6, 3, 7, 0]
43;30;938;254;47,40;14,01;0,17;[1, 0, 3, 0, 6, 3, 4, 7]
44;29;963;230;49,48;14,07;0,17;[6, 7, 5, 6, 3, 2, 7, 7]
45;27;986;207;54,22;14,20;0,19;[2, 1, 5, 3, 0, 4, 7, 2]
46;26;1009;183;57,46;14,27;0,19;[2, 1, 5, 3, 0, 4, 7, 2]
47;26;1032;163;58,62;14,27;0,19;[2, 4, 3, 1, 3, 0, 5, 6]
48;26;1055;139;59,77;14,27;0,19;[2, 4, 3, 1, 3, 0, 5, 6]
49;26;1080;112;60,54;14,27;0,19;[6, 7, 5, 6, 3, 2, 7, 7]
50;26;1103;91;61,62;14,33;0,27;[6, 7, 5, 6, 3, 2, 7, 7]
