Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;16;27;61;148,06;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
2;16;47;46;146,13;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
3;16;67;28;144,19;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
4;16;86;13;145,38;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
5;16;100;0;146,63;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
6;16;100;0;147,88;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
7;16;100;0;149,19;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
8;16;100;0;150,50;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
9;16;100;0;151,81;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
10;16;100;0;153,13;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
11;16;100;0;154,50;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
12;16;100;0;155,88;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
13;16;100;0;157,25;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
14;16;100;0;158,63;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
15;16;100;0;160,00;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
16;16;100;0;161,38;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
17;16;100;0;162,75;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
18;16;100;0;164,13;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
19;16;100;0;165,50;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
20;16;100;0;166,88;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
21;16;100;0;168,25;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
22;16;100;0;169,63;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
23;16;100;0;171,00;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
24;16;100;0;172,38;0,00;0,00;[0, 2, 2, 1, 7, 5, 6, 0, 0, 4]
25;16;100;0;173,75;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
26;16;100;0;175,19;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
27;16;100;0;176,63;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
28;16;100;0;178,13;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
29;16;100;0;179,63;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
30;16;100;0;181,13;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
31;16;100;0;182,63;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
32;16;100;0;184,13;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
33;16;100;0;185,63;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
34;16;100;0;187,13;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
35;16;100;0;188,63;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
36;16;100;0;190,19;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
37;16;100;0;191,75;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
38;16;100;0;193,31;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
39;16;100;0;194,88;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
40;16;100;0;196,44;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
41;16;100;0;198,00;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
42;16;100;0;199,56;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
43;16;100;0;201,13;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
44;16;100;0;202,69;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
45;16;100;0;204,25;0,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
46;16;100;0;205,81;0,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
47;16;100;0;207,38;0,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
48;16;100;0;208,94;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
49;16;100;0;210,50;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
50;16;100;0;212,06;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
51;16;100;0;213,63;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
52;16;100;0;215,19;0,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
53;16;100;0;216,75;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
54;16;100;0;218,31;0,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
55;16;100;0;219,88;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
56;16;100;0;221,44;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
57;16;100;0;223,00;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
58;16;100;0;224,56;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
59;16;100;0;226,13;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
60;16;100;0;227,69;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
61;16;100;0;229,25;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
62;16;100;0;230,81;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
63;16;100;0;232,38;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
64;16;100;0;233,94;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
65;16;100;0;235,50;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
66;16;100;0;237,06;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
67;16;100;0;238,63;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
68;16;100;0;240,19;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
69;16;100;0;241,75;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
70;16;100;0;243,31;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
71;16;100;0;244,88;0,00;0,00;[6, 3, 3, 4, 6, 0, 3, 3, 1, 2]
72;16;100;0;246,44;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
73;16;100;0;248,00;0,00;0,00;[1, 0, 2, 0, 3, 6, 6, 0, 4, 5]
74;16;100;0;249,56;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
75;16;100;0;251,13;0,00;0,00;[1, 7, 2, 5, 4, 0, 7, 0, 2, 4]
76;7;100;0;580,14;75,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
77;7;100;0;586,29;75,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
78;7;100;0;592,43;75,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
79;7;100;0;598,57;75,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
80;7;100;0;604,71;75,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
81;7;100;0;610,86;75,00;0,00;[6, 0, 0, 4, 6, 0, 7, 6, 1, 4]
82;7;100;0;617,00;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
83;7;100;0;623,14;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
84;7;100;0;629,29;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
85;7;100;0;635,43;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
86;7;100;0;641,57;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
87;7;100;0;647,71;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
88;7;100;0;653,86;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
89;7;100;0;660,00;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
90;7;100;0;666,14;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
91;7;100;0;672,29;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
92;7;100;0;678,43;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
93;7;100;0;684,57;75,00;0,00;[0, 4, 2, 5, 7, 2, 7, 2, 7, 2]
