Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;421;46;812;25,64;0,00;0,10;[0, 2, 3, 3, 5, 3, 2, 0]
2;448;78;788;21,30;0,00;0,21;[4, 7, 7, 2, 4, 1, 5, 6]
3;460;104;750;18,35;0,00;0,26;[5, 5, 2, 4, 4, 0, 5, 6]
4;452;131;734;16,41;3,00;0,27;[5, 5, 2, 4, 4, 0, 5, 6]
5;422;159;712;15,58;3,67;0,22;[5, 5, 2, 4, 4, 0, 5, 6]
6;365;181;718;16,03;4,32;0,11;[5, 5, 2, 4, 4, 0, 5, 6]
7;340;199;734;15,36;4,57;0,11;[6, 6, 7, 4, 5, 7, 6, 4]
8;314;223;737;14,62;4,94;0,11;[4, 1, 2, 1, 6, 1, 0, 5]
9;296;241;733;13,45;5,22;0,11;[6, 3, 0, 5, 6, 6, 1, 2]
10;283;268;716;11,85;5,47;0,09;[4, 1, 2, 1, 6, 1, 0, 5]
11;211;293;749;13,86;6,69;0,07;[5, 3, 7, 0, 2, 3, 1, 1]
12;198;318;725;12,75;6,80;0,06;[1, 6, 1, 0, 7, 6, 4, 3]
13;172;344;731;12,76;7,21;0,04;[3, 4, 3, 6, 4, 7, 3, 0]
14;168;371;703;10,86;7,27;0,04;[0, 2, 3, 3, 6, 2, 3, 3]
15;151;399;695;10,15;7,60;0,03;[2, 2, 2, 4, 5, 4, 1, 3]
16;121;430;688;10,55;8,19;0,00;[0, 3, 0, 2, 1, 0, 1, 1]
17;116;456;665;9,05;8,26;0,00;[1, 6, 1, 0, 7, 6, 4, 3]
18;91;479;665;10,23;8,76;0,00;[1, 6, 1, 0, 7, 6, 4, 3]
19;86;503;637;9,28;8,87;0,00;[1, 6, 1, 0, 7, 6, 4, 3]
20;61;532;631;12,43;9,47;0,00;[3, 4, 5, 6, 1, 2, 5, 5]
21;48;557;615;15,10;9,79;0,00;[2, 7, 7, 1, 7, 7, 4, 5]
22;46;579;595;15,48;9,83;0,00;[2, 7, 7, 1, 7, 7, 4, 5]
23;43;603;571;16,23;9,91;0,00;[2, 7, 7, 1, 7, 7, 4, 5]
24;39;626;558;17,69;10,03;0,05;[3, 4, 3, 6, 4, 7, 3, 0]
25;35;651;535;19,80;10,16;0,06;[1, 2, 6, 6, 6, 5, 3, 7]
26;33;674;521;21,33;10,22;0,06;[3, 4, 3, 6, 4, 7, 3, 0]
27;32;696;493;22,66;10,26;0,06;[6, 2, 1, 6, 3, 2, 0, 4]
28;30;718;477;25,07;10,33;0,07;[1, 7, 2, 2, 7, 7, 6, 7]
29;29;738;457;27,24;10,35;0,07;[6, 2, 1, 6, 3, 2, 0, 4]
30;28;761;432;29,07;10,39;0,07;[6, 2, 1, 6, 3, 2, 0, 4]
31;25;782;416;34,36;10,49;0,08;[6, 2, 1, 6, 3, 2, 0, 4]
32;25;803;394;36,08;10,49;0,08;[6, 2, 1, 6, 3, 2, 0, 4]
33;23;825;372;41,09;10,58;0,09;[0, 7, 3, 4, 5, 4, 5, 1]
34;23;846;352;43,13;10,58;0,09;[6, 2, 1, 6, 3, 2, 0, 4]
35;23;868;328;44,96;10,58;0,09;[6, 2, 1, 6, 3, 2, 0, 4]
36;22;891;306;48,82;10,64;0,09;[6, 2, 1, 6, 3, 2, 0, 4]
