Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;27;1494;148,50;0,00;0,00;[3, 1, 2, 3, 7]
2;80;44;1479;147,19;0,00;0,00;[4, 3, 3, 0, 7]
3;80;64;1458;145,69;0,00;0,00;[7, 6, 4, 4, 7]
4;80;84;1440;144,19;0,00;0,00;[7, 4, 4, 0, 2]
5;80;102;1421;142,83;0,00;0,00;[7, 3, 2, 2, 1]
6;80;117;1406;141,68;0,00;0,00;[5, 6, 0, 3, 3]
7;80;137;1388;140,21;0,00;0,00;[7, 3, 2, 2, 1]
8;80;154;1371;138,95;0,00;0,00;[7, 3, 1, 4, 0]
9;80;167;1357;137,95;0,00;0,00;[2, 6, 4, 6, 7]
10;80;185;1338;136,65;0,00;0,00;[0, 2, 3, 6, 0]
11;80;203;1322;135,35;0,00;0,00;[2, 6, 4, 6, 7]
12;80;220;1304;134,13;0,00;0,00;[7, 0, 6, 5, 2]
13;80;237;1287;132,90;0,00;0,00;[1, 0, 7, 0, 0]
14;80;254;1276;131,71;0,00;0,00;[7, 4, 5, 0, 6]
15;80;271;1256;130,54;0,00;0,00;[6, 5, 3, 5, 5]
16;80;288;1242;129,38;0,00;0,00;[5, 7, 7, 2, 6]
17;80;306;1224;128,15;0,00;0,00;[5, 6, 2, 5, 2]
18;80;322;1208;127,06;0,00;0,00;[2, 7, 4, 5, 7]
19;80;338;1187;125,99;0,00;0,00;[5, 6, 2, 5, 2]
20;80;353;1175;124,99;0,00;0,00;[6, 5, 3, 5, 5]
21;80;365;1159;124,18;0,00;0,00;[5, 6, 2, 5, 2]
22;80;379;1154;123,24;0,00;0,00;[7, 7, 4, 2, 6]
23;80;397;1131;122,06;0,00;0,00;[5, 6, 2, 5, 2]
24;80;412;1118;121,08;0,00;0,00;[5, 6, 0, 3, 3]
25;80;427;1101;120,10;0,00;0,00;[5, 6, 2, 5, 2]
26;80;442;1088;119,13;0,00;0,00;[5, 6, 0, 3, 3]
27;80;455;1077;118,28;0,00;0,00;[6, 6, 2, 3, 1]
28;80;470;1066;117,30;0,00;0,00;[6, 5, 5, 2, 7]
29;80;479;1049;116,70;0,00;0,00;[2, 5, 0, 1, 6]
30;80;491;1038;115,91;0,00;0,00;[0, 2, 3, 6, 0]
31;80;505;1024;115,01;0,00;0,00;[2, 4, 3, 7, 7]
32;80;516;1018;114,30;0,00;0,00;[6, 5, 2, 0, 0]
33;80;529;1001;113,48;0,00;0,00;[5, 0, 1, 2, 6]
34;80;541;992;112,74;0,00;0,00;[5, 6, 0, 3, 3]
35;80;554;979;111,94;0,00;0,00;[6, 6, 2, 3, 1]
36;80;566;965;111,20;0,00;0,00;[6, 5, 2, 0, 0]
37;79;578;960;111,90;36,00;0,00;[2, 4, 3, 7, 7]
38;78;591;948;112,49;36,50;0,00;[2, 4, 3, 7, 7]
39;77;601;943;113,29;37,00;0,00;[0, 1, 1, 6, 3]
40;77;611;927;112,62;37,00;0,00;[6, 5, 2, 0, 0]
41;77;623;915;111,83;37,00;0,00;[2, 5, 0, 1, 6]
42;77;635;904;111,04;37,00;0,00;[5, 1, 0, 1, 2]
43;77;648;889;110,18;37,00;0,00;[2, 4, 3, 7, 7]
44;76;658;883;110,99;38,50;0,00;[2, 3, 6, 0, 4]
45;76;672;869;110,07;38,50;0,00;[5, 6, 2, 5, 2]
46;75;683;855;110,81;39,80;0,00;[1, 6, 5, 1, 6]
47;75;693;849;110,16;39,80;0,00;[7, 6, 3, 5, 4]
48;75;708;837;109,17;39,80;0,00;[2, 3, 6, 0, 4]
49;74;719;828;109,97;41,17;0,00;[2, 3, 6, 0, 4]
50;73;733;811;110,55;42,29;0,00;[5, 6, 0, 3, 3]
51;72;743;802;111,44;43,25;0,00;[0, 2, 3, 6, 0]
52;72;752;793;110,85;43,25;0,00;[2, 6, 0, 4, 2]
53;70;768;782;112,94;45,00;0,00;[7, 7, 4, 2, 6]
54;70;779;770;112,23;45,00;0,00;[5, 3, 4, 6, 0]
55;69;787;760;113,41;45,82;0,00;[5, 0, 1, 2, 6]
56;68;795;758;114,56;46,58;0,00;[7, 0, 6, 5, 2]
57;68;805;745;113,88;46,58;0,00;[5, 3, 4, 6, 0]
58;68;815;735;113,22;46,58;0,00;[2, 7, 4, 5, 7]
59;68;827;722;112,43;46,58;0,00;[3, 1, 2, 3, 7]
60;68;839;711;111,63;46,58;0,00;[1, 6, 4, 0, 1]
61;68;849;704;111,01;46,58;0,00;[5, 4, 1, 0, 5]
62;68;859;693;110,40;46,58;0,00;[7, 6, 4, 4, 7]
63;68;870;682;109,74;46,58;0,00;[7, 6, 4, 4, 7]
64;68;880;670;109,15;46,58;0,00;[7, 2, 1, 4, 0]
65;68;890;664;108,57;46,58;0,00;[5, 6, 2, 5, 2]
66;67;901;651;109,52;48,00;0,00;[5, 2, 6, 4, 6]
67;67;912;645;108,85;48,00;0,00;[3, 1, 2, 3, 7]
68;66;923;628;109,80;49,36;0,00;[5, 4, 1, 0, 5]
69;65;933;622;110,88;50,60;0,00;[7, 2, 3, 7, 6]
70;65;943;612;110,25;50,60;0,00;[7, 3, 1, 4, 0]
71;65;952;604;109,69;50,60;0,00;[3, 3, 7, 6, 5]
72;65;963;595;108,98;50,60;0,00;[2, 6, 4, 6, 7]
73;65;976;578;108,14;50,60;0,00;[6, 5, 3, 5, 5]
74;64;984;573;109,36;52,00;0,00;[2, 3, 3, 0, 4]
75;64;995;562;108,64;52,00;0,00;[1, 5, 1, 6, 2]
76;51;1006;559;136,06;62,31;0,00;[7, 0, 6, 5, 2]
77;51;1016;550;135,63;62,31;0,00;[1, 6, 4, 0, 1]
78;51;1028;539;135,00;62,31;0,00;[1, 6, 4, 0, 1]
79;51;1036;531;134,76;62,31;0,00;[1, 6, 4, 0, 1]
80;51;1046;520;134,35;62,31;0,00;[2, 6, 4, 6, 7]
81;50;1056;511;136,66;62,90;0,00;[7, 6, 3, 5, 4]
82;49;1067;502;138,98;63,48;0,00;[2, 6, 4, 6, 7]
83;49;1078;491;138,51;63,48;0,00;[2, 6, 4, 6, 7]
84;48;1088;483;141,00;64,09;0,00;[5, 6, 0, 3, 3]
85;48;1098;471;140,60;64,09;0,00;[5, 6, 0, 3, 3]
86;48;1108;467;140,23;64,09;0,00;[6, 6, 2, 3, 1]
87;48;1117;457;139,96;64,09;0,00;[5, 7, 1, 0, 0]
88;48;1128;445;139,48;64,09;0,00;[2, 3, 3, 0, 4]
89;48;1139;432;139,00;64,09;0,00;[5, 3, 4, 6, 0]
90;48;1148;426;138,73;64,09;0,00;[6, 2, 5, 6, 2]
91;48;1158;416;138,35;64,09;0,00;[5, 6, 0, 3, 3]
92;48;1169;401;137,88;64,09;0,00;[2, 4, 3, 7, 7]
93;48;1178;397;137,60;64,09;0,00;[2, 4, 3, 7, 7]
94;47;1187;388;140,32;64,97;0,00;[0, 2, 1, 4, 2]
95;46;1197;378;143,04;65,82;0,00;[6, 2, 5, 6, 2]
96;46;1206;372;142,83;65,82;0,00;[7, 4, 4, 0, 2]
97;45;1215;361;145,80;66,69;0,00;[6, 2, 5, 6, 2]
98;44;1226;351;148,75;67,53;0,00;[2, 3, 6, 0, 4]
99;44;1237;341;148,39;67,53;0,00;[0, 2, 3, 6, 0]
100;43;1248;331;151,51;68,38;0,00;[5, 3, 4, 6, 0]
101;42;1258;323;154,88;69,21;0,00;[7, 3, 2, 2, 1]
102;42;1267;309;154,76;69,21;0,00;[2, 3, 6, 0, 4]
103;40;1275;306;162,50;70,85;0,00;[3, 0, 4, 3, 7]
104;40;1284;297;162,33;70,85;0,00;[7, 4, 4, 0, 2]
105;40;1292;288;162,30;70,85;0,00;[0, 2, 3, 6, 0]
106;39;1301;283;166,36;71,68;0,00;[5, 3, 4, 6, 0]
107;39;1311;270;166,13;71,68;0,00;[7, 3, 2, 2, 1]
108;39;1320;261;166,03;71,68;0,00;[6, 5, 3, 5, 5]
109;39;1331;250;165,67;71,68;0,00;[5, 3, 4, 6, 0]
110;38;1341;240;169,87;72,57;0,00;[5, 7, 7, 2, 6]
111;38;1349;232;169,97;72,57;0,00;[2, 6, 4, 6, 7]
112;38;1359;228;169,82;72,57;0,00;[5, 6, 2, 7, 3]
113;38;1369;213;169,66;72,57;0,00;[7, 0, 6, 5, 2]
114;38;1377;207;169,76;72,57;0,00;[5, 6, 6, 0, 7]
115;38;1387;197;169,61;72,57;0,00;[7, 0, 6, 5, 2]
116;38;1396;188;169,58;72,57;0,00;[5, 7, 7, 2, 6]
117;38;1406;178;169,42;72,57;0,00;[7, 4, 2, 4, 1]
118;38;1415;169;169,39;72,57;0,00;[2, 3, 6, 0, 4]
119;38;1424;163;169,37;72,57;0,00;[3, 1, 2, 3, 7]
120;37;1432;156;174,11;73,65;0,00;[5, 6, 2, 7, 3]
121;37;1440;148;174,27;73,65;0,00;[3, 1, 2, 3, 7]
122;37;1450;140;174,16;73,65;0,00;[2, 3, 6, 0, 4]
123;37;1458;131;174,32;73,65;0,00;[7, 4, 4, 0, 2]
124;36;1467;123;179,25;74,77;0,00;[4, 0, 4, 6, 2]
125;36;1475;114;179,50;74,77;0,00;[7, 0, 6, 5, 2]
126;36;1485;105;179,47;74,77;0,00;[2, 4, 3, 7, 7]
127;36;1495;95;179,44;74,77;0,00;[5, 4, 1, 0, 5]
128;36;1503;90;179,69;74,77;0,00;[2, 6, 0, 4, 2]
129;36;1511;79;179,94;74,77;0,00;[5, 3, 4, 6, 0]
130;36;1519;75;180,19;74,77;0,00;[2, 6, 0, 4, 2]
131;36;1528;65;180,31;74,77;0,00;[7, 3, 1, 4, 0]
132;35;1537;53;185,63;76,02;0,00;[6, 2, 5, 6, 2]
133;35;1543;50;186,23;76,02;0,00;[5, 6, 7, 4, 7]
134;35;1554;39;186,14;76,02;0,00;[7, 0, 6, 5, 2]
135;35;1562;32;186,49;76,02;0,00;[5, 4, 1, 0, 5]
136;35;1569;25;186,97;76,02;0,00;[5, 7, 7, 2, 6]
137;36;1577;21;175,17;76,02;0,06;[0, 2, 3, 6, 0]
138;36;1582;11;175,89;76,02;0,06;[7, 4, 4, 0, 2]
139;36;1589;11;176,33;76,02;0,06;[7, 4, 4, 0, 2]
140;36;1595;5;176,92;76,02;0,06;[5, 6, 2, 7, 3]
141;36;1600;0;177,36;76,02;0,06;[2, 4, 3, 7, 7]
142;36;1600;0;178,08;76,02;0,06;[5, 3, 4, 6, 0]
143;36;1600;0;178,81;76,02;0,06;[7, 4, 4, 0, 2]
144;36;1600;0;179,53;76,02;0,06;[0, 2, 3, 6, 0]
145;36;1600;0;180,25;76,02;0,06;[7, 3, 2, 2, 1]
146;36;1600;0;181,00;76,02;0,06;[0, 2, 3, 6, 0]
147;36;1600;0;181,78;76,02;0,06;[7, 0, 6, 5, 2]
148;35;1600;0;187,83;77,57;0,06;[5, 6, 6, 0, 7]
149;35;1600;0;188,69;77,57;0,06;[2, 3, 3, 0, 4]
150;34;1600;0;195,18;79,09;0,06;[7, 4, 2, 4, 1]
151;34;1600;0;196,12;79,09;0,06;[2, 4, 3, 7, 7]
