Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;27;1494;148,50;0,00;0,00;[1, 6, 0, 3, 2]
2;80;47;1476;147,00;0,00;0,00;[6, 6, 6, 7, 0]
3;80;66;1458;145,56;0,00;0,00;[3, 0, 0, 2, 6]
4;80;82;1445;144,33;0,00;0,00;[4, 6, 2, 7, 1]
5;80;101;1425;142,94;0,00;0,00;[1, 5, 6, 3, 6]
6;80;119;1409;141,63;0,00;0,00;[3, 1, 2, 2, 4]
7;80;139;1387;140,19;0,00;0,00;[4, 6, 2, 7, 1]
8;80;154;1374;139,09;0,00;0,00;[2, 5, 1, 1, 1]
9;80;170;1361;137,93;0,00;0,00;[4, 6, 2, 7, 1]
10;80;187;1337;136,70;0,00;0,00;[0, 4, 7, 3, 6]
11;80;200;1327;135,74;0,00;0,00;[1, 5, 6, 3, 6]
12;80;217;1307;134,54;0,00;0,00;[4, 6, 2, 7, 1]
13;80;233;1296;133,40;0,00;0,00;[4, 5, 3, 0, 4]
14;80;248;1280;132,34;0,00;0,00;[2, 5, 1, 1, 1]
15;80;263;1266;131,29;0,00;0,00;[6, 0, 5, 1, 5]
16;80;278;1248;130,26;0,00;0,00;[4, 5, 3, 0, 4]
17;80;293;1235;129,24;0,00;0,00;[3, 2, 4, 7, 4]
18;80;311;1219;128,03;0,00;0,00;[4, 5, 3, 0, 4]
19;80;322;1208;127,26;0,00;0,00;[5, 1, 5, 3, 6]
20;80;335;1199;126,38;0,00;0,00;[2, 3, 1, 5, 5]
21;80;351;1179;125,31;0,00;0,00;[1, 0, 7, 1, 1]
22;80;361;1173;124,63;0,00;0,00;[4, 6, 2, 7, 1]
23;80;369;1162;124,06;0,00;0,00;[3, 0, 0, 2, 6]
24;80;382;1156;123,20;0,00;0,00;[6, 2, 2, 7, 6]
25;80;392;1138;122,54;0,00;0,00;[6, 2, 2, 7, 6]
26;80;406;1129;121,63;0,00;0,00;[4, 5, 3, 0, 4]
27;80;419;1112;120,79;0,00;0,00;[6, 2, 2, 7, 6]
28;80;430;1102;120,08;0,00;0,00;[4, 5, 3, 0, 4]
29;80;442;1092;119,30;0,00;0,00;[4, 5, 3, 0, 4]
30;80;452;1085;118,65;0,00;0,00;[4, 5, 3, 0, 4]
31;80;461;1069;118,11;0,00;0,00;[1, 5, 6, 3, 6]
32;80;473;1057;117,40;0,00;0,00;[1, 5, 6, 3, 6]
33;79;486;1049;118,09;32,00;0,00;[1, 5, 6, 3, 6]
34;79;502;1033;117,10;32,00;0,00;[5, 5, 0, 6, 4]
35;79;516;1022;116,24;32,00;0,00;[3, 0, 0, 2, 6]
36;79;529;1010;115,46;32,00;0,00;[3, 0, 0, 2, 6]
37;79;536;1000;115,05;32,00;0,00;[0, 5, 0, 6, 7]
38;78;547;992;115,85;34,50;0,00;[4, 5, 3, 0, 4]
39;78;558;976;115,18;34,50;0,00;[4, 5, 3, 0, 4]
40;78;571;966;114,38;34,50;0,00;[4, 5, 3, 0, 4]
41;78;581;954;113,78;34,50;0,00;[5, 5, 0, 6, 4]
42;77;593;950;114,53;36,67;0,00;[1, 6, 0, 3, 2]
43;75;608;933;116,68;38,80;0,00;[6, 2, 2, 7, 6]
44;75;619;923;116,00;38,80;0,00;[3, 1, 2, 2, 4]
45;75;630;913;115,33;38,80;0,00;[3, 1, 2, 2, 4]
46;75;641;902;114,67;38,80;0,00;[3, 2, 4, 7, 4]
47;75;653;887;113,96;38,80;0,00;[5, 5, 0, 6, 4]
48;74;665;877;114,82;40,17;0,00;[4, 0, 5, 1, 6]
49;74;677;864;114,11;40,17;0,00;[5, 3, 7, 5, 4]
50;73;690;853;114,90;41,43;0,00;[4, 5, 3, 0, 4]
51;70;705;844;118,97;44,00;0,00;[4, 0, 5, 1, 6]
52;70;719;827;118,09;44,00;0,00;[4, 0, 5, 1, 6]
53;70;733;814;117,20;44,00;0,00;[3, 0, 0, 2, 6]
54;69;744;807;118,26;44,82;0,00;[4, 0, 5, 1, 6]
55;69;755;793;117,62;44,82;0,00;[6, 1, 7, 3, 6]
56;69;764;786;117,13;44,82;0,00;[1, 5, 6, 3, 6]
57;67;775;774;120,04;46,54;0,00;[6, 1, 7, 3, 6]
58;66;783;762;121,42;47,29;0,00;[4, 1, 2, 2, 0]
59;66;797;756;120,48;47,29;0,00;[6, 1, 7, 3, 6]
60;66;809;746;119,70;47,29;0,00;[1, 0, 7, 1, 1]
61;65;820;735;120,86;48,13;0,00;[5, 5, 0, 6, 4]
62;65;833;719;120,02;48,13;0,00;[7, 4, 5, 2, 6]
63;65;846;704;119,17;48,13;0,00;[6, 5, 1, 0, 4]
64;64;857;693;120,38;49,06;0,00;[7, 5, 2, 7, 2]
65;63;868;683;121,62;49,94;0,00;[6, 5, 1, 0, 4]
66;63;878;677;121,02;49,94;0,00;[5, 3, 7, 5, 4]
67;62;891;668;122,21;50,83;0,00;[6, 0, 5, 6, 4]
68;61;903;657;123,54;51,68;0,00;[1, 0, 5, 1, 6]
69;61;915;647;122,72;51,68;0,00;[1, 5, 6, 3, 6]
70;61;926;633;121,98;51,68;0,00;[0, 0, 5, 3, 4]
71;61;939;618;121,08;51,68;0,00;[2, 4, 7, 6, 3]
72;61;949;613;120,43;51,68;0,00;[2, 3, 1, 5, 5]
73;61;961;602;119,62;51,68;0,00;[0, 0, 5, 3, 4]
74;60;973;593;120,85;52,75;0,00;[5, 5, 0, 6, 4]
75;60;984;578;120,15;52,75;0,00;[6, 1, 7, 3, 6]
76;52;993;572;138,35;59,11;0,00;[1, 0, 5, 1, 6]
77;52;1003;562;137,98;59,11;0,00;[6, 1, 7, 3, 6]
