Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;27;1493;148,50;0,00;0,00;[4, 7, 6, 5, 3]
2;80;46;1478;147,06;0,00;0,00;[6, 7, 0, 0, 1]
3;80;66;1459;145,58;0,00;0,00;[4, 3, 5, 7, 6]
4;80;85;1441;144,16;0,00;0,00;[5, 2, 7, 5, 3]
5;80;104;1422;142,79;0,00;0,00;[3, 2, 0, 4, 2]
6;80;121;1405;141,55;0,00;0,00;[6, 7, 0, 0, 1]
7;80;136;1388;140,44;0,00;0,00;[1, 2, 4, 3, 0]
8;80;154;1370;139,15;0,00;0,00;[5, 1, 0, 7, 0]
9;80;169;1361;138,05;0,00;0,00;[5, 1, 0, 7, 0]
10;80;187;1340;136,76;0,00;0,00;[0, 7, 7, 4, 5]
11;80;203;1327;135,60;0,00;0,00;[0, 7, 7, 4, 5]
12;80;219;1309;134,46;0,00;0,00;[5, 2, 7, 5, 3]
13;80;235;1299;133,35;0,00;0,00;[4, 3, 5, 7, 6]
14;80;248;1283;132,43;0,00;0,00;[5, 6, 0, 5, 0]
15;80;261;1272;131,53;0,00;0,00;[5, 6, 0, 5, 0]
16;80;274;1256;130,64;0,00;0,00;[5, 6, 1, 3, 5]
17;80;283;1246;130,01;0,00;0,00;[4, 7, 4, 1, 3]
18;80;296;1234;129,15;0,00;0,00;[1, 4, 2, 2, 3]
19;80;311;1223;128,16;0,00;0,00;[3, 2, 0, 4, 2]
20;80;326;1207;127,19;0,00;0,00;[1, 6, 5, 3, 0]
21;80;341;1193;126,23;0,00;0,00;[1, 2, 6, 5, 3]
22;80;352;1178;125,51;0,00;0,00;[5, 4, 2, 6, 5]
23;80;363;1167;124,80;0,00;0,00;[3, 2, 0, 4, 2]
24;80;376;1151;123,98;0,00;0,00;[5, 4, 2, 6, 5]
25;80;389;1142;123,15;0,00;0,00;[5, 1, 0, 7, 0]
26;80;402;1130;122,33;0,00;0,00;[5, 1, 0, 7, 0]
27;80;412;1121;121,69;0,00;0,00;[1, 4, 2, 2, 3]
28;80;420;1113;121,19;0,00;0,00;[5, 2, 7, 5, 3]
29;80;434;1100;120,31;0,00;0,00;[5, 1, 0, 7, 0]
30;80;449;1090;119,40;0,00;0,00;[4, 7, 2, 1, 1]
31;80;459;1078;118,80;0,00;0,00;[7, 1, 5, 7, 3]
32;80;465;1068;118,46;0,00;0,00;[7, 7, 0, 4, 4]
33;80;477;1057;117,75;0,00;0,00;[1, 2, 6, 5, 3]
34;80;488;1044;117,11;0,00;0,00;[6, 6, 4, 4, 1]
35;80;498;1044;116,54;0,00;0,00;[6, 6, 4, 4, 1]
36;80;505;1029;116,16;0,00;0,00;[7, 2, 7, 0, 0]
37;80;518;1018;115,41;0,00;0,00;[4, 5, 3, 5, 6]
38;80;528;1003;114,86;0,00;0,00;[4, 2, 6, 3, 1]
39;80;543;993;114,00;0,00;0,00;[0, 1, 5, 5, 0]
40;80;554;979;113,40;0,00;0,00;[0, 1, 5, 5, 0]
41;80;561;973;113,05;0,00;0,00;[0, 1, 5, 5, 0]
42;79;573;959;113,81;41,00;0,00;[7, 2, 7, 0, 0]
43;77;581;959;116,40;41,67;0,00;[0, 7, 7, 4, 5]
44;76;595;948;117,12;42,00;0,00;[0, 7, 7, 4, 5]
45;75;605;937;118,08;42,40;0,00;[1, 5, 4, 7, 6]
46;75;617;926;117,32;42,40;0,00;[1, 5, 4, 7, 6]
47;75;630;909;116,49;42,40;0,00;[2, 7, 4, 1, 7]
48;75;641;900;115,81;42,40;0,00;[0, 7, 7, 4, 5]
49;74;652;888;116,70;43,33;0,00;[0, 7, 7, 4, 5]
50;73;665;877;117,48;44,14;0,00;[2, 7, 4, 1, 7]
51;72;676;869;118,44;44,88;0,00;[1, 4, 2, 2, 3]
52;71;686;856;119,52;45,56;0,00;[1, 5, 4, 7, 6]
53;70;696;848;120,60;46,20;0,00;[3, 3, 1, 5, 1]
54;69;708;836;121,59;46,82;0,00;[2, 6, 1, 0, 2]
55;69;719;826;120,88;46,82;0,00;[0, 7, 7, 4, 5]
