Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;27;1498;148,50;0,00;0,00;[3, 6, 3, 7, 0]
2;80;47;1476;147,01;0,00;0,00;[5, 3, 7, 7, 0]
3;80;65;1461;145,66;0,00;0,00;[3, 6, 3, 7, 0]
4;80;82;1441;144,38;0,00;0,00;[7, 7, 2, 4, 4]
5;80;100;1425;143,03;0,00;0,00;[6, 5, 4, 1, 0]
6;80;118;1407;141,70;0,00;0,00;[2, 5, 0, 6, 2]
7;80;137;1395;140,33;0,00;0,00;[2, 0, 3, 3, 3]
8;80;155;1377;139,03;0,00;0,00;[3, 6, 3, 7, 0]
9;80;172;1354;137,80;0,00;0,00;[5, 4, 2, 5, 5]
10;80;192;1337;136,40;0,00;0,00;[4, 3, 2, 1, 0]
11;80;210;1313;135,15;0,00;0,00;[2, 5, 0, 6, 2]
12;80;226;1304;134,03;0,00;0,00;[1, 2, 3, 3, 7]
13;80;244;1286;132,79;0,00;0,00;[3, 6, 3, 7, 0]
14;80;259;1274;131,74;0,00;0,00;[1, 2, 3, 1, 4]
15;80;275;1252;130,64;0,00;0,00;[2, 1, 4, 7, 2]
16;80;288;1239;129,74;0,00;0,00;[2, 5, 0, 6, 2]
17;80;306;1230;128,53;0,00;0,00;[2, 4, 7, 1, 1]
18;80;319;1208;127,63;0,00;0,00;[3, 6, 3, 7, 0]
19;80;332;1199;126,74;0,00;0,00;[1, 2, 3, 1, 4]
20;80;349;1180;125,60;0,00;0,00;[1, 7, 4, 4, 0]
21;80;360;1166;124,84;0,00;0,00;[2, 5, 0, 6, 2]
22;80;375;1154;123,84;0,00;0,00;[1, 7, 1, 2, 5]
23;80;388;1142;122,96;0,00;0,00;[3, 6, 3, 7, 0]
24;80;396;1139;122,40;0,00;0,00;[1, 7, 4, 4, 0]
