Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;27;1495;148,50;0,00;0,00;[6, 2, 0, 4, 2]
2;80;47;1477;147,00;0,00;0,00;[5, 5, 3, 1, 5]
3;80;65;1459;145,64;0,00;0,00;[7, 6, 0, 3, 6]
4;80;83;1442;144,28;0,00;0,00;[6, 6, 0, 0, 1]
5;80;100;1426;142,99;0,00;0,00;[5, 6, 3, 4, 6]
6;80;118;1406;141,65;0,00;0,00;[7, 4, 5, 7, 0]
7;80;132;1394;140,56;0,00;0,00;[4, 3, 1, 0, 5]
8;80;147;1379;139,44;0,00;0,00;[4, 7, 4, 4, 4]
9;80;164;1361;138,19;0,00;0,00;[4, 2, 3, 1, 2]
10;80;181;1345;136,94;0,00;0,00;[6, 2, 0, 4, 1]
11;80;194;1332;135,95;0,00;0,00;[5, 6, 3, 4, 6]
12;80;211;1317;134,71;0,00;0,00;[5, 6, 5, 2, 1]
13;80;227;1295;133,54;0,00;0,00;[6, 2, 0, 4, 1]
14;80;240;1291;132,55;0,00;0,00;[5, 6, 5, 2, 1]
15;80;254;1278;131,53;0,00;0,00;[6, 2, 0, 4, 2]
16;80;267;1265;130,56;0,00;0,00;[5, 1, 7, 0, 4]
17;80;280;1250;129,60;0,00;0,00;[6, 2, 0, 4, 2]
18;80;292;1237;128,73;0,00;0,00;[6, 2, 0, 4, 2]
19;80;308;1222;127,60;0,00;0,00;[6, 2, 0, 4, 2]
20;80;323;1212;126,54;0,00;0,00;[7, 2, 0, 1, 7]
21;80;333;1199;125,81;0,00;0,00;[5, 6, 5, 2, 1]
22;80;345;1181;124,96;0,00;0,00;[7, 2, 0, 1, 7]
23;80;355;1176;124,24;0,00;0,00;[7, 2, 0, 1, 7]
24;80;367;1160;123,39;0,00;0,00;[3, 3, 4, 2, 1]
25;79;379;1151;124,15;24,00;0,00;[2, 7, 0, 1, 1]
26;79;389;1146;123,41;24,00;0,00;[1, 1, 7, 0, 1]
27;79;399;1130;122,68;24,00;0,00;[2, 7, 0, 1, 1]
28;79;415;1116;121,59;24,00;0,00;[6, 4, 3, 7, 7]
29;79;428;1109;120,70;24,00;0,00;[5, 7, 7, 1, 0]
30;79;437;1095;120,05;24,00;0,00;[0, 3, 0, 5, 4]
31;79;451;1081;119,09;24,00;0,00;[1, 3, 0, 2, 2]
32;79;462;1073;118,34;24,00;0,00;[4, 7, 4, 4, 4]
33;79;476;1060;117,41;24,00;0,00;[2, 6, 7, 1, 0]
34;79;488;1045;116,59;24,00;0,00;[6, 2, 0, 4, 1]
35;79;501;1030;115,72;24,00;0,00;[6, 4, 3, 7, 7]
36;79;512;1024;114,97;24,00;0,00;[4, 7, 4, 4, 4]
37;79;529;1010;113,87;24,00;0,00;[4, 7, 4, 4, 4]
38;79;539;1003;113,22;24,00;0,00;[5, 3, 7, 0, 3]
