Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;8;8;209;14,63;0,00;0,00;[0, 0, 6, 0, 7, 7, 4, 5]
2;9;9;210;12,11;0,00;0,22;[0, 0, 6, 0, 7, 7, 4, 5]
3;9;11;205;11,11;0,00;0,22;[0, 0, 6, 0, 7, 7, 4, 5]
4;9;13;204;10,11;0,00;0,22;[0, 6, 7, 4, 2, 5, 5, 5]
5;9;15;204;9,11;0,00;0,22;[0, 6, 7, 4, 2, 5, 5, 5]
6;7;17;202;10,71;5,00;0,00;[0, 6, 7, 4, 7, 1, 0, 0]
7;7;19;199;9,71;5,00;0,00;[0, 0, 6, 0, 7, 7, 4, 5]
8;7;21;197;8,71;5,00;0,00;[0, 0, 6, 0, 7, 7, 4, 5]
9;7;23;195;7,71;5,00;0,00;[0, 0, 6, 0, 7, 7, 4, 5]
10;7;24;194;7,43;5,00;0,00;[0, 0, 6, 0, 7, 7, 4, 5]
11;6;25;195;8,50;6,67;0,00;[0, 6, 7, 4, 7, 1, 0, 0]
12;6;27;192;7,50;6,67;0,00;[0, 6, 7, 4, 7, 1, 0, 0]
13;6;29;191;6,50;6,67;0,00;[0, 6, 7, 4, 7, 1, 0, 0]
14;6;31;188;5,50;6,67;0,00;[2, 4, 1, 5, 4, 1, 7, 6]
15;6;33;187;4,50;6,67;0,00;[2, 4, 1, 5, 4, 1, 7, 6]
16;3;35;187;8,00;10,83;0,00;[0, 6, 7, 4, 7, 1, 0, 0]
17;3;37;185;7,00;10,83;0,00;[0, 6, 7, 4, 7, 1, 0, 0]
18;3;39;183;6,00;10,83;0,00;[0, 6, 7, 4, 7, 1, 0, 0]
