Day;AnimalCount;PlantCount;FreeFields;AvgEnergy;AvgLifespan;AvgChildren;TopGenotype
1;80;26;1496;148,56;0,00;0,00;[5, 5, 6, 6, 7]
2;80;46;1482;147,06;0,00;0,00;[4, 2, 1, 1, 2]
3;80;65;1462;145,68;0,00;0,00;[4, 1, 1, 0, 0]
4;80;85;1438;144,23;0,00;0,00;[4, 5, 5, 2, 3]
5;80;103;1418;142,91;0,00;0,00;[7, 3, 3, 0, 7]
6;80;119;1403;141,73;0,00;0,00;[5, 5, 6, 6, 1]
7;80;137;1391;140,43;0,00;0,00;[2, 4, 0, 7, 4]
8;80;156;1370;139,09;0,00;0,00;[4, 5, 5, 2, 3]
9;80;174;1359;137,81;0,00;0,00;[5, 5, 6, 6, 7]
10;80;189;1334;136,74;0,00;0,00;[4, 2, 1, 1, 2]
11;80;203;1325;135,74;0,00;0,00;[3, 5, 7, 3, 7]
12;80;217;1309;134,76;0,00;0,00;[5, 5, 6, 6, 1]
13;80;232;1294;133,73;0,00;0,00;[5, 4, 5, 7, 4]
14;80;244;1283;132,89;0,00;0,00;[4, 3, 5, 4, 7]
15;80;256;1273;132,05;0,00;0,00;[5, 4, 5, 7, 4]
16;80;269;1258;131,16;0,00;0,00;[5, 4, 5, 7, 4]
17;80;283;1246;130,21;0,00;0,00;[5, 4, 5, 7, 4]
18;80;297;1235;129,26;0,00;0,00;[7, 0, 7, 7, 4]
19;80;314;1216;128,13;0,00;0,00;[4, 6, 2, 2, 7]
20;80;327;1205;127,24;0,00;0,00;[5, 2, 7, 7, 6]
21;80;338;1196;126,49;0,00;0,00;[5, 5, 6, 6, 7]
22;80;350;1177;125,68;0,00;0,00;[5, 5, 4, 1, 1]
23;79;362;1174;126,44;22,00;0,00;[5, 5, 4, 1, 1]
24;79;375;1158;125,54;22,00;0,00;[4, 1, 1, 0, 0]
25;79;389;1148;124,58;22,00;0,00;[4, 1, 1, 0, 0]
26;79;404;1128;123,57;22,00;0,00;[4, 1, 1, 0, 0]
27;79;417;1114;122,70;22,00;0,00;[0, 2, 6, 7, 7]
28;79;432;1098;121,71;22,00;0,00;[2, 4, 0, 7, 4]
29;79;444;1089;120,91;22,00;0,00;[2, 2, 5, 1, 6]
30;79;457;1080;120,06;22,00;0,00;[3, 5, 7, 3, 7]
31;79;467;1067;119,42;22,00;0,00;[2, 2, 5, 1, 6]
32;79;482;1054;118,47;22,00;0,00;[5, 5, 4, 1, 1]
33;79;495;1040;117,67;22,00;0,00;[0, 3, 5, 4, 7]
34;79;510;1020;116,75;22,00;0,00;[0, 3, 5, 4, 7]
35;78;525;1009;117,32;28,00;0,00;[5, 5, 6, 6, 1]
36;78;538;998;116,50;28,00;0,00;[3, 5, 7, 3, 7]
37;77;552;985;117,16;30,67;0,00;[4, 2, 1, 4, 3]
38;77;563;971;116,45;30,67;0,00;[2, 4, 0, 7, 4]
39;77;577;962;115,56;30,67;0,00;[4, 1, 6, 4, 7]
40;77;591;945;114,68;30,67;0,00;[5, 4, 4, 6, 0]
41;77;606;931;113,73;30,67;0,00;[0, 3, 5, 4, 7]
42;76;619;919;114,41;33,25;0,00;[0, 3, 5, 4, 7]
43;75;633;909;115,05;35,00;0,00;[5, 5, 4, 1, 1]
44;75;648;893;114,11;35,00;0,00;[4, 2, 1, 4, 3]
45;75;659;886;113,44;35,00;0,00;[2, 5, 4, 2, 2]
46;75;672;871;112,64;35,00;0,00;[4, 1, 1, 0, 0]
47;74;688;859;113,18;36,83;0,00;[5, 5, 4, 1, 1]
48;74;699;843;112,50;36,83;0,00;[3, 5, 7, 3, 7]
49;73;712;833;113,21;38,43;0,00;[0, 4, 3, 6, 4]
50;72;727;819;113,81;39,75;0,00;[5, 4, 4, 6, 0]
51;72;741;803;112,90;39,75;0,00;[2, 2, 6, 3, 2]
